#Plane_1u1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             44
1    1.53803     0.57847             27167
2    3.77963     0.89368             45866
3    4.44130     0.79150             34439
4    7.41649     1.69207             25160
5    6.29783     2.21046             11846
6    24.50000     0.00000             383
