#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Be9        kin_type:  MF            
# target_amu: 9.012182                 
# target_density [g/cm3]: 1.8480     
# target_thickness [cm]: 0.5335      
# target_areal_density [g/cm2]: 0.9859
#
# N: 5
# Z: 4
# A: 9
# transparency: 0.6
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.8200             
# hms_h_angle [deg]: -48.3000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
16983,3805.473,88.640,23.293,94826.000,307.938,94798.039,307.953,27.961,3.033,0.996,8.993E-05,0.981,2.015E-04,1.005,-NAN,0.939,1.230E-03,2.202E+02,8.795E+01,6.837E+01,3.018E+00,1.374E-01,2.131E-01,2.111E-01,2.256E-01,1.381E-01,37933.000,35614.000,-1.0,1025.0,33.0,1.0,0.275,0.329,0.882,0.021,0.994,0.050,1.022,0.035,337.005,335.893,372.899,356.452,321.350,318.031,344.932,349.909,309.471,325.484,363.445,371.446,1.725,1.721,1.921,1.826,1.689,1.560,1.680,1.703,1.462,1.532,1.822,1.786,232.197,231.433,228.476,217.392,259.309,253.947,237.127,232.855,213.507,220.950,227.904,240.203,1.404,1.397,1.491,1.493,1.733,1.705,1.370,1.361,1.445,1.546,1.492,1.650,0.984,0.011,5.000E+00,8.876E+04,0.976,0.001
17099,396.880,12.477,31.439,12824.000,113.243,12817.092,113.253,6.908,1.507,0.996,2.868E-04,0.976,6.535E-04,1.004,-NAN,0.931,4.023E-03,2.973E+02,1.235E+02,9.438E+01,4.079E+00,1.822E-01,2.337E-01,2.326E-01,2.134E-01,1.829E-01,3956.000,3684.000,-1.0,2049.0,129.0,1.0,0.100,0.329,0.882,0.021,0.995,0.050,1.033,0.037,345.093,340.069,378.209,358.855,316.417,319.629,341.304,345.910,309.759,321.179,355.372,366.169,1.911,1.977,2.211,2.089,1.830,1.770,1.861,1.883,1.680,1.687,1.925,2.054,234.691,241.227,233.717,220.735,261.039,257.516,237.454,236.509,216.789,226.635,229.275,241.017,1.578,1.559,1.738,1.493,1.919,1.935,1.499,1.502,1.625,1.829,1.605,1.804,0.974,0.024,0.000E+00,6.119E+03,0.968,0.003
17100,460.983,27.552,59.767,26300.000,162.173,26281.579,162.191,18.421,2.462,0.996,1.953E-04,0.966,5.288E-04,1.002,-NAN,0.938,3.547E-03,5.654E+02,2.461E+02,1.836E+02,7.776E+00,3.696E-01,4.742E-01,4.706E-01,4.283E-01,3.703E-01,4594.000,4311.000,-1.0,2049.0,129.0,1.0,0.104,0.339,0.882,0.021,0.995,0.051,1.043,0.036,345.178,339.462,385.650,358.498,318.848,321.094,337.322,347.752,312.230,324.924,356.820,369.684,1.647,1.691,1.857,1.774,1.588,1.525,1.564,1.631,1.441,1.463,1.676,1.711,248.261,254.006,241.406,232.545,267.072,261.693,245.115,246.482,226.442,231.327,238.777,246.040,1.550,1.518,1.546,1.579,1.737,1.670,1.501,1.451,1.468,1.536,1.503,1.583,0.957,0.013,1.000E+00,1.332E+04,0.960,0.002
