#-------------------------------------
#        Data Analysis Summary        
#-------------------------------------
#                                     
#                                     
# target_name: Ca48        kin_type:  MF            
# target_amu: 47.952523                 
# target_density [g/cm3]: 1.8600     
# target_thickness [cm]: 0.5650      
# target_areal_density [g/cm2]: 1.0509
#
# N: 28
# Z: 20
# A: 48
# transparency: 0.37
#
# beam_energy [GeV]: 10.5494          
#
# hms_h_particle_mass [GeV]: 0.938272          
# hms_h_momentum [GeV/c]: 1.8200             
# hms_h_angle [deg]: -48.3000                  
#
# shms_e_particle_mass [GeV]: 0.000511          
# shms_e_momentum [GeV/c]: 8.5500             
# shms_e_angle [deg]: 8.3000                  
#
# BCM1_Current_Threshold [uA]: >5.00 
# Units: time [sec] | charge [mC] | currnet [uA] | rates [kHz] |  efficiencies [fractional form]                       
#                       
run,beam_time,charge,avg_current,total_Yield,total_Yield_err,real_Yield,real_Yield_err,random_Yield,random_Yield_err,hTrkEff,hTrkEff_err,pTrkEff,pTrkEff_err,cpuLT,cpuLT_err_Bi,tLT,tLT_err_Bi,S1X_rate,T1_scl_rate,T2_scl_rate,T3_scl_rate,T5_scl_rate,T1_accp_rate,T2_accp_rate,T3_accp_rate,T5_accp_rate,edtm_scl,edtm_accp,PS1,PS2,PS3,PS5,ctime_offset,ctime_sigma,hbeta_mean,hbeta_sigma,pbeta_mean,pbeta_sigma,pcal_mean,pcal_sigma,hdc1u1_res,hdc1u2_res,hdc1x1_res,hdc1x2_res,hdc1v2_res,hdc1v1_res,hdc2v1_res,hdc2v2_res,hdc2x2_res,hdc2x1_res,hdc2u2_res,hdc2u1_res,hdc1u1_res_err,hdc1u2_res_err,hdc1x1_res_err,hdc1x2_res_err,hdc1v2_res_err,hdc1v1_res_err,hdc2v1_res_err,hdc2v2_res_err,hdc2x2_res_err,hdc2x1_res_err,hdc2u2_res_err,hdc2u1_res_err,pdc1u1_res,pdc1u2_res,pdc1x1_res,pdc1x2_res,pdc1v1_res,pdc1v2_res,pdc2v2_res,pdc2v1_res,pdc2x2_res,pdc2x1_res,pdc2u2_res,pdc2u1_res,pdc1u1_res_err,pdc1u2_res_err,pdc1x1_res_err,pdc1x2_res_err,pdc1v1_res_err,pdc1v2_res_err,pdc2v2_res_err,pdc2v1_res_err,pdc2x2_res_err,pdc2x1_res_err,pdc2u2_res_err,pdc2u1_res_err,multi_track_eff,multi_track_eff_err,T1_accp_singles,T2_accp_singles,pTrkEff_singles,pTrkEff_singles_err
16978,197.442,5.465,27.681,3061.000,55.326,3055.408,55.343,5.592,1.356,0.997,2.514E-04,0.973,1.060E-03,1.004,-NAN,0.942,5.266E-03,4.068E+02,1.262E+02,9.066E+01,1.144E+01,1.417E-01,3.654E-01,3.524E-01,4.871E-01,1.423E-01,1968.000,1854.000,-1.0,513.0,33.0,1.0,0.207,0.335,0.882,0.022,0.994,0.051,1.020,0.035,339.608,338.904,382.762,360.619,322.379,318.300,350.351,356.462,313.510,325.673,364.180,370.315,2.095,2.031,2.419,2.258,2.020,1.814,2.048,2.126,1.670,1.814,2.091,2.071,240.623,242.610,237.439,226.403,251.537,261.446,246.912,232.486,213.561,225.350,228.294,236.444,2.192,2.254,2.296,2.284,2.613,2.651,2.403,2.110,2.254,2.264,2.354,2.635,0.979,0.041,0.000E+00,1.048E+04,0.968,0.002
16979,2718.978,76.211,28.029,42554.000,206.286,42505.645,206.325,48.355,3.988,0.996,1.070E-04,0.974,3.062E-04,1.005,-NAN,0.934,1.512E-03,4.133E+02,1.282E+02,9.200E+01,1.163E+01,1.430E-01,2.454E-01,2.421E-01,2.339E-01,1.437E-01,27105.000,25307.000,-1.0,1025.0,129.0,1.0,0.219,0.338,0.882,0.021,0.993,0.051,1.019,0.034,341.765,339.880,378.503,358.901,320.133,317.340,344.491,351.846,308.859,326.504,359.462,367.212,1.794,1.917,2.129,2.033,1.833,1.670,1.813,1.855,1.602,1.722,1.872,1.982,235.742,243.491,240.687,228.182,256.837,255.106,234.009,233.411,217.758,227.899,227.950,234.250,1.746,1.739,1.781,1.773,1.897,1.877,1.610,1.636,1.767,1.975,1.742,1.855,0.980,0.012,2.000E+00,7.321E+04,0.971,0.001
