#Plane_1v1
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             166
1    4.70061     0.97249             20227
2    9.07048     0.83089             86283
3    12.62010     0.83707             110511
4    0.60099     0.31290             97139
5    1.63106     0.62332             52050
6    10.50000     0.00000             1761
